fecha,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano
31/07/2020,-53.21681721,-59.9159619,-85.62633417,-51.08158162,-41.53855196,-69.54943218,-48.14911469,-82.53252099,-63.11449903
01/08/2020,-49.59354329,-53.39198697,-82.55114396,-50.96964874,-39.69398952,-46.5254265,-36.60887828,-81.14445888,-49.22686543
02/08/2020,-52.86381602,-53.71584973,-83.27723619,-59.23779375,-52.50358183,-53.16796522,-43.70306376,-78.93731343,-51.66810717
03/08/2020,-49.51336046,-55.83728586,-83.03656843,-47.52945211,-39.87577077,-67.13072077,-44.92656851,-50.12145187,-60.65402322
04/08/2020,-52.02892739,-58.15676408,-85.54451248,-52.54214017,-41.28585085,-69.17637105,-46.97832784,-49.8657054,-63.15555662
05/08/2020,-52.50348795,-57.83667456,-83.96718501,-49.8930796,-40.83502726,-65.6628835,-45.68312256,-46.94463382,-61.75345737
06/08/2020,-52.48573766,-59.13717229,-85.5236304,-50.87716989,-41.98817334,-66.24707297,-46.59355044,-47.90021662,-62.00210821
07/08/2020,-51.09601812,-58.26343686,-84.97945268,-47.33858728,-40.21252711,-63.44309148,-46.78247612,-49.37592623,-61.94969906
08/08/2020,-50.40751145,-53.92823545,-83.74008333,-50.28687475,-39.75537426,-46.79519733,-35.75715011,-50.52984207,-49.3361175
09/08/2020,-52.89613876,-53.90999212,-83.72073334,-59.22121939,-50.43839004,-53.98868922,-41.92991698,-54.76716418,-51.36668107
10/08/2020,-49.00009294,-55.39453577,-84.68281324,-47.49188786,-42.07270284,-69.07821401,-46.17173599,-35.35290443,-60.77909196
11/08/2020,-51.53702844,-57.54906201,-84.19435422,-49.79735052,-41.96373352,-67.45131763,-48.02362706,-34.52784846,-65.91411493
12/08/2020,-51.88042312,-58.41747939,-85.55071083,-50.71908444,-41.39271018,-66.88203071,-46.39831336,-33.15153037,-61.33561535
13/08/2020,-50.83061888,-57.70072499,-84.03295949,-48.9563494,-40.65734805,-65.79117883,-47.05878191,-64.70547132,-61.5392541
14/08/2020,-50.26116164,-56.72919429,-85.11660793,-48.38041849,-39.99003796,-67.79972392,-47.87475685,-52.33986498,-60.03147287
15/08/2020,-46.49838782,-49.73500949,-78.81059266,-45.44912568,-37.49665043,-46.35307291,-33.21091232,-27.02536405,-43.8232936
16/08/2020,-47.58538277,-47.41697044,-76.95142653,-53.91644854,-46.49307558,-48.2690044,-34.72417717,-24.23880597,-43.99308557
17/08/2020,-47.5823521,-54.10188003,-82.83311226,-44.37606757,-39.09620562,-69.64682518,-42.83497547,-26.66389062,-59.00764429
18/08/2020,-49.4266943,-55.79998246,-84.66923747,-48.04001173,-38.68578496,-67.95278665,-45.68055782,-31.95504665,-60.76888495
